InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
11145-25,Capital Southwest,rule_b_only_added,no,yes,,5305,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,www.capitalsouthwest.com,capitalsouthwest.com
535344-58,Capitalis Partners,rule_b_only_added,no,yes,,5308,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.capitalispartners.com,capitalispartners.com
42886-72,Capstone Partners (Investment Banks),rule_b_only_added,no,yes,,5310,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.capstonepartnerslp.com,capstonepartnerslp.com
230140-36,Carry Tech,rule_b_only_added,no,yes,,5331,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.carryprotocol.io,carryprotocol.io
514991-53,Cashican People,rule_b_only_added,no,yes,,5340,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.cashican.com,cashican.com
490884-85,CCV,rule_b_only_added,no,yes,,5351,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Real Estate,,
62213-23,Central Coast Angels,rule_b_only_added,no,yes,,5369,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.centralcoastangels.com,centralcoastangels.com
51552-19,Cervin Ventures,rule_b_only_added,no,yes,,3773,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.cervinventures.com,cervinventures.com
503342-65,Charles Moscoe,rule_b_only_added,no,yes,,5417,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
462587-86,Chase Lochmiller,rule_b_only_added,no,yes,,5425,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
462010-42,Chen Qiufan,rule_b_only_added,no,yes,,5429,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
501822-28,Chol Hwan Kim,rule_b_only_added,no,yes,,5450,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
442875-97,Chris Barrett,rule_b_only_added,no,yes,,5452,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
517318-66,Christian Bukovics,rule_b_only_added,no,yes,,5465,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
506928-07,Christian Kaul,rule_b_only_added,no,yes,,5469,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
118851-76,Christopher Risley,rule_b_only_added,no,yes,,5483,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
656165-26,Cityblok,rule_b_only_added,no,yes,,5498,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
231138-10,Cleevely & Partners,rule_b_only_added,no,yes,,5504,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.cleevely.com,cleevely.com
544780-54,Coded Fi Ltd,rule_b_only_added,no,yes,,5519,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
232193-53,Coefficient Venture,rule_b_only_added,no,yes,,5523,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,coefficient.network,coefficient.network
459498-43,CoinFlip (Other Financial Services),rule_b_only_added,no,yes,,5535,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.coinflip.tech,coinflip.tech
656076-43,CoinVisionary,rule_b_only_added,no,yes,,5547,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
62389-27,Cometa (Mexico),rule_b_only_added,no,yes,,4104,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.cometa.vc,cometa.vc
97743-97,Commerce.Innovated,rule_b_only_added,no,yes,,5566,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.commerceinnovated.com,commerceinnovated.com
52871-95,Concept2Company Ventures,rule_b_only_added,no,yes,,5574,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.c2cventures.com,c2cventures.com
56368-99,Consensus Capital Group,rule_b_only_added,no,yes,,3875,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,ccplc.com,ccplc.com
184204-00,CONTENTshift,rule_b_only_added,no,yes,,5590,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.contentshift.de,contentshift.de
223028-11,Coppel,rule_b_only_added,no,yes,,5596,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.coppel.com,coppel.com
540054-10,Corridor Ventures (New Orleans),rule_b_only_added,no,yes,,5604,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.corridorvc.com,corridorvc.com
82688-41,Counterview Capital,rule_b_only_added,no,yes,,4110,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.counterview.vc,counterview.vc
51588-19,Coupa Software,rule_b_only_added,no,yes,,5609,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE-Backed Company,www.coupa.com,coupa.com
267589-00,Court Westcott,rule_b_only_added,no,yes,,5612,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
122999-50,COVA Capital Partners,rule_b_only_added,no,yes,,4111,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Corporation,www.covacp.com,covacp.com
492750-46,Crosesell,rule_b_only_added,no,yes,,5633,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.crosesell.com,crosesell.com
183883-78,Crowberry Capital,rule_b_only_added,no,yes,,3824,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.crowberrycapital.com,crowberrycapital.com
399549-16,Crowdcreate,rule_b_only_added,no,yes,,5634,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.crowdcreate.us,crowdcreate.us
656228-71,Crypto Labs,rule_b_only_added,no,yes,,5654,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
501013-18,CryptoPhd,rule_b_only_added,no,yes,,5669,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
494995-87,D2 Digital Ventures,rule_b_only_added,no,yes,,5702,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.d2digitalinvest.com,d2digitalinvest.com
481455-10,Danal Holdings,rule_b_only_added,no,yes,,5723,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
501000-22,Danal Investment Partners,rule_b_only_added,no,yes,,5724,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,,
741532-69,Dani Osorio,rule_b_only_added,no,yes,,5725,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
747972-82,Daniel Dizon,rule_b_only_added,no,yes,,5730,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
465275-80,Daniel Masters,rule_b_only_added,no,yes,,3880,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
503343-10,Dave Freeman,rule_b_only_added,no,yes,,5770,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
106145-38,David Baggett,rule_b_only_added,no,yes,,5774,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
123766-12,David Coulter,rule_b_only_added,no,yes,,5780,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
119765-98,David Rowan,rule_b_only_added,no,yes,,5805,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),health.wired.com,health.wired.com
438533-92,David Rutter,rule_b_only_added,no,yes,,5807,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
105939-37,David Sacks,rule_b_only_added,no,yes,,5808,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
106113-43,David Tisch,rule_b_only_added,no,yes,,5812,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),www.davidtisch.com,davidtisch.com
178982-02,Davidson Technology Growth Debt,rule_b_only_added,no,yes,,5819,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Lender/Debt Provider,www.davidson-capital.com,davidson-capital.com
500742-64,DCBuilder DCBuilder,rule_b_only_added,no,yes,,5827,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
162067-51,Dean Benjamin,rule_b_only_added,no,yes,,5836,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),deanbenjamin.com,deanbenjamin.com
436815-28,Dedicated Venture Capital,rule_b_only_added,no,yes,,3883,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,dedicated.lu,dedicated.lu
64684-18,Depository Trust & Clearing,rule_b_only_added,no,yes,,3884,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.dtcc.com,dtcc.com
